datetime,Consumer_0_electric (kW)
2023-05-17T13:30:00Z,0.37849
2023-05-17T13:45:00Z,0.416299
2023-05-17T14:00:00Z,0.374136
2023-05-17T14:15:00Z,0.309741
2023-05-17T14:30:00Z,0.294806
2023-05-17T14:45:00Z,0.298009
2023-05-17T15:00:00Z,0.301072
2023-05-17T15:15:00Z,0.294667
2023-05-17T15:30:00Z,0.313771
2023-05-17T15:45:00Z,0.31828
2023-05-17T16:00:00Z,0.432838
2023-05-17T16:15:00Z,0.397969
2023-05-17T16:30:00Z,0.309262
2023-05-17T16:45:00Z,1.426644
2023-05-17T17:00:00Z,1.518946
2023-05-17T17:15:00Z,0.387644
2023-05-17T17:30:00Z,0.35907
2023-05-17T17:45:00Z,0.345323
2023-05-17T18:00:00Z,0.347578
2023-05-17T18:15:00Z,0.375185
2023-05-17T18:30:00Z,0.373652
2023-05-17T18:45:00Z,0.323887
2023-05-17T19:00:00Z,0.310749
2023-05-17T19:15:00Z,0.391041
2023-05-17T19:30:00Z,0.46885
2023-05-17T19:45:00Z,0.302835
2023-05-17T20:00:00Z,0.233485
2023-05-17T20:15:00Z,0.211496
2023-05-17T20:30:00Z,0.20451
2023-05-17T20:45:00Z,0.231088
2023-05-17T21:00:00Z,0.235983
2023-05-17T21:15:00Z,0.188303
2023-05-17T21:30:00Z,0.124448
2023-05-17T21:45:00Z,0.236435
2023-05-17T22:00:00Z,0.196762
2023-05-17T22:15:00Z,0.153382
2023-05-17T22:30:00Z,0.184113
2023-05-17T22:45:00Z,0.179842
2023-05-17T23:00:00Z,0.18114
2023-05-17T23:15:00Z,0.158895
2023-05-17T23:30:00Z,0.221682
2023-05-17T23:45:00Z,0.234042
2023-05-18T00:00:00Z,0.244785
2023-05-18T00:15:00Z,0.21483
2023-05-18T00:30:00Z,0.165069
2023-05-18T00:45:00Z,0.209286
2023-05-18T01:00:00Z,0.220135
2023-05-18T01:15:00Z,0.248674
2023-05-18T01:30:00Z,0.249819
2023-05-18T01:45:00Z,0.235745
2023-05-18T02:00:00Z,0.219179
2023-05-18T02:15:00Z,0.219262
2023-05-18T02:30:00Z,0.233161
2023-05-18T02:45:00Z,0.16829
2023-05-18T03:00:00Z,0.157692
2023-05-18T03:15:00Z,0.137584
2023-05-18T03:30:00Z,0.125698
2023-05-18T03:45:00Z,0.147787
2023-05-18T04:00:00Z,0.248186
2023-05-18T04:15:00Z,0.436742
2023-05-18T04:30:00Z,0.808272
2023-05-18T04:45:00Z,0.422971
2023-05-18T05:00:00Z,0.318499
2023-05-18T05:15:00Z,0.280912
2023-05-18T05:30:00Z,0.26596
2023-05-18T05:45:00Z,0.174523
2023-05-18T06:00:00Z,0.200295
2023-05-18T06:15:00Z,0.25684
2023-05-18T06:30:00Z,0.278075
2023-05-18T06:45:00Z,0.276564
2023-05-18T07:00:00Z,0.251259
2023-05-18T07:15:00Z,0.249575
2023-05-18T07:30:00Z,0.25776
2023-05-18T07:45:00Z,0.280874
2023-05-18T08:00:00Z,0.280523
2023-05-18T08:15:00Z,0.258197
2023-05-18T08:30:00Z,0.24844
2023-05-18T08:45:00Z,0.250884
2023-05-18T09:00:00Z,0.281317
2023-05-18T09:15:00Z,0.280387
2023-05-18T09:30:00Z,0.222913
2023-05-18T09:45:00Z,0.169561
2023-05-18T10:00:00Z,0.168721
2023-05-18T10:15:00Z,0.198229
2023-05-18T10:30:00Z,0.220328
2023-05-18T10:45:00Z,0.284329
2023-05-18T11:00:00Z,0.275933
2023-05-18T11:15:00Z,0.250826
2023-05-18T11:30:00Z,0.277259
2023-05-18T11:45:00Z,0.296113
2023-05-18T12:00:00Z,0.277151
2023-05-18T12:15:00Z,0.253766
2023-05-18T12:30:00Z,0.250631
2023-05-18T12:45:00Z,0.275768
2023-05-18T13:00:00Z,0.280511
2023-05-18T13:15:00Z,0.268387
2023-05-18T13:30:00Z,0.248576
2023-05-18T13:45:00Z,0.248093
2023-05-18T14:00:00Z,0.269414
2023-05-18T14:15:00Z,0.279752
2023-05-18T14:30:00Z,0.307124
2023-05-18T14:45:00Z,0.240119
2023-05-18T15:00:00Z,0.258727
2023-05-18T15:15:00Z,0.276353
2023-05-18T15:30:00Z,0.289762
2023-05-18T15:45:00Z,0.284883
2023-05-18T16:00:00Z,0.257707
2023-05-18T16:15:00Z,0.503478
2023-05-18T16:30:00Z,0.586505
2023-05-18T16:45:00Z,0.403789
2023-05-18T17:00:00Z,0.39261
2023-05-18T17:15:00Z,0.350317
2023-05-18T17:30:00Z,0.416271
2023-05-18T17:45:00Z,0.36465
2023-05-18T18:00:00Z,0.345113
2023-05-18T18:15:00Z,0.26256
2023-05-18T18:30:00Z,0.640914
2023-05-18T18:45:00Z,0.531128
2023-05-18T19:00:00Z,0.610366
2023-05-18T19:15:00Z,0.586636
2023-05-18T19:30:00Z,0.355655
2023-05-18T19:45:00Z,0.297791
2023-05-18T20:00:00Z,0.293635
2023-05-18T20:15:00Z,0.257365
2023-05-18T20:30:00Z,0.249639
2023-05-18T20:45:00Z,0.247429
2023-05-18T21:00:00Z,0.22845
2023-05-18T21:15:00Z,0.209819
2023-05-18T21:30:00Z,0.20847
2023-05-18T21:45:00Z,0.23305
2023-05-18T22:00:00Z,0.239178
2023-05-18T22:15:00Z,0.227347
2023-05-18T22:30:00Z,0.207772
2023-05-18T22:45:00Z,0.20655
2023-05-18T23:00:00Z,0.231002
2023-05-18T23:15:00Z,0.237575
2023-05-18T23:30:00Z,0.232215
2023-05-18T23:45:00Z,0.206301
2023-05-19T00:00:00Z,0.206215
2023-05-19T00:15:00Z,0.219329
2023-05-19T00:30:00Z,0.215706
2023-05-19T00:45:00Z,0.181638
2023-05-19T01:00:00Z,0.21863
2023-05-19T01:15:00Z,0.215715
2023-05-19T01:30:00Z,0.224037
2023-05-19T01:45:00Z,0.214135
2023-05-19T02:00:00Z,0.168259
2023-05-19T02:15:00Z,0.146906
2023-05-19T02:30:00Z,0.136564
2023-05-19T02:45:00Z,0.138032
2023-05-19T03:00:00Z,0.169336
2023-05-19T03:15:00Z,0.168483
2023-05-19T03:30:00Z,0.13731
2023-05-19T03:45:00Z,0.168403
2023-05-19T04:00:00Z,0.433892
2023-05-19T04:15:00Z,0.519717
2023-05-19T04:30:00Z,0.557889
2023-05-19T04:45:00Z,0.80155
2023-05-19T05:00:00Z,0.534841
2023-05-19T05:15:00Z,0.298062
2023-05-19T05:30:00Z,0.256223
2023-05-19T05:45:00Z,0.212126
2023-05-19T06:00:00Z,0.221203
2023-05-19T06:15:00Z,0.202674
2023-05-19T06:30:00Z,0.202505
2023-05-19T06:45:00Z,0.214746
2023-05-19T07:00:00Z,0.234249
2023-05-19T07:15:00Z,0.233745
2023-05-19T07:30:00Z,0.205341
2023-05-19T07:45:00Z,0.21871
2023-05-19T08:00:00Z,0.186333
2023-05-19T08:15:00Z,0.201428
2023-05-19T08:30:00Z,0.20033
2023-05-19T08:45:00Z,0.179365
2023-05-19T09:00:00Z,0.168241
2023-05-19T09:15:00Z,0.167764
2023-05-19T09:30:00Z,0.198725
2023-05-19T09:45:00Z,0.199857
2023-05-19T10:00:00Z,0.280709
2023-05-19T10:15:00Z,0.264442
2023-05-19T10:30:00Z,0.259325
2023-05-19T10:45:00Z,0.335541
2023-05-19T11:00:00Z,0.38857
2023-05-19T11:15:00Z,0.353947
2023-05-19T11:30:00Z,0.268482
2023-05-19T11:45:00Z,0.246803
2023-05-19T12:00:00Z,0.262435
2023-05-19T12:15:00Z,0.276569
2023-05-19T12:30:00Z,0.27516
2023-05-19T12:45:00Z,0.526459
2023-05-19T13:00:00Z,0.377265
2023-05-19T13:15:00Z,0.800101
2023-05-19T13:30:00Z,1.821943
2023-05-19T13:45:00Z,1.150448
2023-05-19T14:00:00Z,0.773843
2023-05-19T14:15:00Z,1.923694
2023-05-19T14:30:00Z,0.41356
2023-05-19T14:45:00Z,0.298972
2023-05-19T15:00:00Z,0.325041
2023-05-19T15:15:00Z,0.400855
2023-05-19T15:30:00Z,0.384826
2023-05-19T15:45:00Z,0.323704
2023-05-19T16:00:00Z,0.277242
2023-05-19T16:15:00Z,0.278925
2023-05-19T16:30:00Z,0.266309
2023-05-19T16:45:00Z,0.246212
2023-05-19T17:00:00Z,0.245762
2023-05-19T17:15:00Z,0.267972
2023-05-19T17:30:00Z,0.275709
2023-05-19T17:45:00Z,0.267631
2023-05-19T18:00:00Z,0.245768
2023-05-19T18:15:00Z,0.245353
2023-05-19T18:30:00Z,0.232832
2023-05-19T18:45:00Z,0.235182
2023-05-19T19:00:00Z,0.214747
2023-05-19T19:15:00Z,0.130741
2023-05-19T19:30:00Z,0.12312
2023-05-19T19:45:00Z,0.137325
2023-05-19T20:00:00Z,0.154971
2023-05-19T20:15:00Z,0.156349
2023-05-19T20:30:00Z,0.12522
2023-05-19T20:45:00Z,0.122877
2023-05-19T21:00:00Z,0.167437
2023-05-19T21:15:00Z,0.252788
2023-05-19T21:30:00Z,0.248942
2023-05-19T21:45:00Z,0.22053
2023-05-19T22:00:00Z,0.207932
2023-05-19T22:15:00Z,0.20844
2023-05-19T22:30:00Z,0.168096
2023-05-19T22:45:00Z,0.224813
2023-05-19T23:00:00Z,0.214866
2023-05-19T23:15:00Z,0.205153
2023-05-19T23:30:00Z,0.17223
2023-05-19T23:45:00Z,0.152778
2023-05-20T00:00:00Z,0.154335
2023-05-20T00:15:00Z,0.14043
2023-05-20T00:30:00Z,0.123204
2023-05-20T00:45:00Z,0.125312
2023-05-20T01:00:00Z,0.154345
2023-05-20T01:15:00Z,0.16688
2023-05-20T01:30:00Z,0.258485
2023-05-20T01:45:00Z,0.233942
2023-05-20T02:00:00Z,0.227637
2023-05-20T02:15:00Z,0.237448
2023-05-20T02:30:00Z,0.251153
2023-05-20T02:45:00Z,0.249074
2023-05-20T03:00:00Z,0.220325
2023-05-20T03:15:00Z,0.220556
2023-05-20T03:30:00Z,0.221146
2023-05-20T03:45:00Z,0.23695
2023-05-20T04:00:00Z,0.210305
2023-05-20T04:15:00Z,0.136321
2023-05-20T04:30:00Z,0.146267
2023-05-20T04:45:00Z,0.156491
2023-05-20T05:00:00Z,0.180056
2023-05-20T05:15:00Z,0.116346
2023-05-20T05:30:00Z,0.125091
2023-05-20T05:45:00Z,0.145275
2023-05-20T06:00:00Z,0.216819
2023-05-20T06:15:00Z,0.249107
2023-05-20T06:30:00Z,0.244892
2023-05-20T06:45:00Z,0.227641
2023-05-20T07:00:00Z,0.251188
2023-05-20T07:15:00Z,0.195099
2023-05-20T07:30:00Z,0.188685
2023-05-20T07:45:00Z,0.195201
2023-05-20T08:00:00Z,0.187082
2023-05-20T08:15:00Z,0.165744
2023-05-20T08:30:00Z,0.167065
2023-05-20T08:45:00Z,0.186234
2023-05-20T09:00:00Z,0.272265
2023-05-20T09:15:00Z,0.289538
2023-05-20T09:30:00Z,0.258692
2023-05-20T09:45:00Z,0.251793
2023-05-20T10:00:00Z,0.266433
2023-05-20T10:15:00Z,0.281
2023-05-20T10:30:00Z,0.277221
2023-05-20T10:45:00Z,0.249227
2023-05-20T11:00:00Z,0.250344
2023-05-20T11:15:00Z,0.261228
2023-05-20T11:30:00Z,0.296371
2023-05-20T11:45:00Z,0.310386
2023-05-20T12:00:00Z,0.278136
2023-05-20T12:15:00Z,0.248299
2023-05-20T12:30:00Z,0.188769
2023-05-20T12:45:00Z,0.198151
2023-05-20T13:00:00Z,0.19785
2023-05-20T13:15:00Z,0.176375
2023-05-20T13:30:00Z,0.214901
2023-05-20T13:45:00Z,0.264148
2023-05-20T14:00:00Z,0.292545
2023-05-20T14:15:00Z,0.286846
2023-05-20T14:30:00Z,0.209134
2023-05-20T14:45:00Z,0.222917
2023-05-20T15:00:00Z,0.256562
2023-05-20T15:15:00Z,0.277064
2023-05-20T15:30:00Z,0.280228
2023-05-20T15:45:00Z,0.266344
2023-05-20T16:00:00Z,0.248677
2023-05-20T16:15:00Z,0.24728
2023-05-20T16:30:00Z,0.269201
2023-05-20T16:45:00Z,0.278051
2023-05-20T17:00:00Z,0.268592
2023-05-20T17:15:00Z,0.170306
2023-05-20T17:30:00Z,0.165595
2023-05-20T17:45:00Z,0.180759
2023-05-20T18:00:00Z,0.197256
2023-05-20T18:15:00Z,0.195203
2023-05-20T18:30:00Z,0.167921
2023-05-20T18:45:00Z,0.151216
2023-05-20T19:00:00Z,0.155769
2023-05-20T19:15:00Z,0.261735
2023-05-20T19:30:00Z,0.251576
2023-05-20T19:45:00Z,0.218255
2023-05-20T20:00:00Z,0.209684
2023-05-20T20:15:00Z,0.212003
2023-05-20T20:30:00Z,0.23671
2023-05-20T20:45:00Z,0.236095
2023-05-20T21:00:00Z,0.17861
2023-05-20T21:15:00Z,0.123235
2023-05-20T21:30:00Z,0.123086
2023-05-20T21:45:00Z,0.151602
2023-05-20T22:00:00Z,0.153213
2023-05-20T22:15:00Z,0.138819
2023-05-20T22:30:00Z,0.123057
2023-05-20T22:45:00Z,0.170517
2023-05-20T23:00:00Z,0.370781
2023-05-20T23:15:00Z,0.229057
2023-05-20T23:30:00Z,0.272986
2023-05-20T23:45:00Z,0.265605
2023-05-21T00:00:00Z,0.250108
2023-05-21T00:15:00Z,0.155358
2023-05-21T00:30:00Z,0.196444
2023-05-21T00:45:00Z,0.128932
2023-05-21T01:00:00Z,0.166483
2023-05-21T01:15:00Z,0.166163
2023-05-21T01:30:00Z,0.159613
2023-05-21T01:45:00Z,0.138249
2023-05-21T02:00:00Z,0.137679
2023-05-21T02:15:00Z,0.166001
2023-05-21T02:30:00Z,0.266719
2023-05-21T02:45:00Z,0.260436
2023-05-21T03:00:00Z,0.230073
2023-05-21T03:15:00Z,0.225439
2023-05-21T03:30:00Z,0.230393
2023-05-21T03:45:00Z,0.194673
2023-05-21T04:00:00Z,0.151518
2023-05-21T04:15:00Z,0.124755
2023-05-21T04:30:00Z,0.123964
2023-05-21T04:45:00Z,0.140341
2023-05-21T05:00:00Z,0.169947
2023-05-21T05:15:00Z,0.17803
2023-05-21T05:30:00Z,0.221714
2023-05-21T05:45:00Z,0.243839
2023-05-21T06:00:00Z,0.269338
2023-05-21T06:15:00Z,0.2548
2023-05-21T06:30:00Z,0.275257
2023-05-21T06:45:00Z,0.281266
2023-05-21T07:00:00Z,0.230762
2023-05-21T07:15:00Z,0.189967
2023-05-21T07:30:00Z,0.220838
2023-05-21T07:45:00Z,0.219733
2023-05-21T08:00:00Z,0.189247
2023-05-21T08:15:00Z,0.165079
2023-05-21T08:30:00Z,0.165475
2023-05-21T08:45:00Z,0.26286
2023-05-21T09:00:00Z,0.293735
2023-05-21T09:15:00Z,0.276081
2023-05-21T09:30:00Z,0.251659
2023-05-21T09:45:00Z,0.247293
2023-05-21T10:00:00Z,0.205005
2023-05-21T10:15:00Z,0.208107
2023-05-21T10:30:00Z,0.193626
2023-05-21T10:45:00Z,0.12505
2023-05-21T11:00:00Z,0.095289
2023-05-21T11:15:00Z,0.117361
2023-05-21T11:30:00Z,0.126085
2023-05-21T11:45:00Z,0.118129
2023-05-21T12:00:00Z,0.09564
2023-05-21T12:15:00Z,0.095751
2023-05-21T12:30:00Z,0.170655
2023-05-21T12:45:00Z,0.225421
2023-05-21T13:00:00Z,0.217258
2023-05-21T13:15:00Z,0.184335
2023-05-21T13:30:00Z,0.181423
2023-05-21T13:45:00Z,0.192475
2023-05-21T14:00:00Z,0.211799
2023-05-21T14:15:00Z,0.21086
2023-05-21T14:30:00Z,0.181462
2023-05-21T14:45:00Z,0.180245
2023-05-21T15:00:00Z,0.186423
2023-05-21T15:15:00Z,0.210998
2023-05-21T15:30:00Z,0.209812
2023-05-21T15:45:00Z,0.185938
2023-05-21T16:00:00Z,0.178841
2023-05-21T16:15:00Z,0.179929
2023-05-21T16:30:00Z,0.209162
2023-05-21T16:45:00Z,0.209227
2023-05-21T17:00:00Z,0.190595
2023-05-21T17:15:00Z,0.177706
2023-05-21T17:30:00Z,0.230699
2023-05-21T17:45:00Z,0.275747
2023-05-21T18:00:00Z,0.274483
2023-05-21T18:15:00Z,0.186898
2023-05-21T18:30:00Z,0.16985
2023-05-21T18:45:00Z,0.170016
2023-05-21T19:00:00Z,0.189545
2023-05-21T19:15:00Z,0.187655
2023-05-21T19:30:00Z,0.147981
2023-05-21T19:45:00Z,0.123004
2023-05-21T20:00:00Z,0.123201
2023-05-21T20:15:00Z,0.236606
2023-05-21T20:30:00Z,0.249829
2023-05-21T20:45:00Z,0.245225
2023-05-21T21:00:00Z,0.207454
2023-05-21T21:15:00Z,0.205833
2023-05-21T21:30:00Z,0.214119
2023-05-21T21:45:00Z,0.236306
2023-05-21T22:00:00Z,0.236199
2023-05-21T22:15:00Z,0.210963
2023-05-21T22:30:00Z,0.20505
2023-05-21T22:45:00Z,0.207433
2023-05-21T23:00:00Z,0.236688
2023-05-21T23:15:00Z,0.221011
2023-05-21T23:30:00Z,0.134796
2023-05-21T23:45:00Z,0.123357
2023-05-22T00:00:00Z,0.123565
2023-05-22T00:15:00Z,0.151327
2023-05-22T00:30:00Z,0.155274
2023-05-22T00:45:00Z,0.143484
2023-05-22T01:00:00Z,0.133277
2023-05-22T01:15:00Z,0.183267
2023-05-22T01:30:00Z,0.257076
2023-05-22T01:45:00Z,0.263627
2023-05-22T02:00:00Z,0.246157
2023-05-22T02:15:00Z,0.221012
2023-05-22T02:30:00Z,0.219595
2023-05-22T02:45:00Z,0.238034
2023-05-22T03:00:00Z,0.252066
2023-05-22T03:15:00Z,0.150135
2023-05-22T03:30:00Z,0.064088
2023-05-22T03:45:00Z,0.124693
2023-05-22T04:00:00Z,0.138121
2023-05-22T04:15:00Z,0.167803
2023-05-22T04:30:00Z,0.178865
2023-05-22T04:45:00Z,0.152207
2023-05-22T05:00:00Z,0.219437
2023-05-22T05:15:00Z,0.256607
2023-05-22T05:30:00Z,0.274362
2023-05-22T05:45:00Z,0.266791
2023-05-22T06:00:00Z,0.246888
2023-05-22T06:15:00Z,0.254263
2023-05-22T06:30:00Z,0.260414
2023-05-22T06:45:00Z,0.281604
2023-05-22T07:00:00Z,0.262642
2023-05-22T07:15:00Z,0.17249
2023-05-22T07:30:00Z,0.166512
2023-05-22T07:45:00Z,0.166476
2023-05-22T08:00:00Z,0.199381
2023-05-22T08:15:00Z,0.197959
2023-05-22T08:30:00Z,0.181602
2023-05-22T08:45:00Z,0.165872
2023-05-22T09:00:00Z,0.195248
2023-05-22T09:15:00Z,0.221609
2023-05-22T09:30:00Z,0.219834
2023-05-22T09:45:00Z,0.201776
2023-05-22T10:00:00Z,0.274794
2023-05-22T10:15:00Z,0.242943
2023-05-22T10:30:00Z,0.199951
2023-05-22T10:45:00Z,0.209241
2023-05-22T11:00:00Z,0.201111
2023-05-22T11:15:00Z,0.177664
2023-05-22T11:30:00Z,0.188244
2023-05-22T11:45:00Z,0.203713
2023-05-22T12:00:00Z,0.780195
2023-05-22T12:15:00Z,2.270436
2023-05-22T12:30:00Z,2.44618
2023-05-22T12:45:00Z,0.337461
2023-05-22T13:00:00Z,0.383639
2023-05-22T13:15:00Z,1.536396
2023-05-22T13:30:00Z,1.035184
2023-05-22T13:45:00Z,0.446217
